nerdyplourdie6,how many times yo daddy woop yo ass and u cry
andypalooza,Vape reviews  Vaping  gaming  YouTube  fitness 
oro_pur,Founder of @UPREstudiantes & graduate student of @moodycollege.
chelsiewithac,✨ (meme mom mandi ftw) ✨ I'm a slut for pretty sunsets and troye sivan songs
dolanswilk,https://t.co/4OgoByIOBZ rip 2 my ongoing youth
100s_of_fandoms,Honestly my mood changes so quickly that if you ask how I'm doing I might tell you 10 different things
itssaudrie_,love life a little.  💞Andrew💞
ferric_26,I love space. I mostly retweet things I'm interested in and occasionally post original things. :)
oreaux_,
hallie_page,
trottagiuliana,Desire something too much  and it plays games with your heart  but walk away from what you love  and you find out whats inside you  what sets you free. ❤️
aplsaus,I'm just like wikileaks
cyclonecaylen,
wiseqmul,Network at Queen Mary Uni of London that promotes  supports and celebrates women  equality and diversity in STEMM: Science  Tech  Engineering  Maths  Medicine.
kristinamgodoy,Montclair State University
ceci_vallejos8,
saineschris,1.7.17
jospencegames,Full time boring guy  part time political smart-ass. @GODSENTGG is my favorite CS team .Greatful mancrush of @TheFox_MC.
tweet_anng,I specialize in Research and Development and connecting the world together.  Humor is needed so feed it.
heartlineskian,starve my heart of touch & time
sgsheehy,Nomad. Lifelong explorer dedicated to everyday adventures. Writer and photographer.
og_killuminatix,For the most part we go hard for the respect. sc:edugarcia12
noticeme8,Fiel de vários Fandoms - Siga seus sonhos / Follow your dreams ✨❣- unf = unf 😘 conta trades @tradesNoticeMe8
crikk1ez,I'm doing it for myself by myself. ⚡️🦉
cubillo_,@MeechIsDead ↖️
lordbiingo,important with Airyana
kirkultima,One with the Universe... Mana charging... #TrekForStein #Starks4Stein #Fellowship4Stein #NationalNaderMythDay #WhatIsTheLimit #LimitBreak👽🖖
ericmolloy,I am Mormon to the church of Jesus Christ of latter day saints. I am deaf my Irish sign language and america sign language. I love to most an ISS it
jessegilbert,Chances are  that video you love was made by me. Motion designer and overall creative. Currently @ MTV ContactCleanMotion@gmail.com
rosslyndmc,pce&luv
eternalclara,writer. 20. ♊️
_lovebriyanna,SENIOR17~Cheer~Choir~Stuco~Eric❤️~My best friend is my header she bad af 😙
kevinschawinski,Asst Prof @ETH_en | black holes & galaxies | #citizenscience & @galaxyzoo | deep learning | speaker | https://t.co/8uw4s2uo4Q
sadlyamlie,18/ gemini/ heartless soulless villain/
zappamel,ultimately only truth can prevail
r_mully24,
nasa_dawn,The only spacecraft to orbit one solar system target  Vesta  and then orbit another: Ceres! Thx ion propulsion.   Dawn's Communications team
rheetos,MUST BE LOVE ON THE BRAIN
stayshift,Special Means and Strangeways and FILDI. Disclaimer: Tweets are my own.
pimpsaucee,
kevinspaceys_m8,
