DrFunkySpoon,Sat Oct 08 17:42:38 +0000 2016,784811251629105152,18709,1228,0,0,BRIEFING: Societal Implications of #Astrobiology: Research from Library of Congress - This Friday w me &amp; @nccomfort https://t.co/d6Lm4ti75J
m_m_campbell,Sat Oct 08 22:11:43 +0000 2016,784878969556459520,8035,352,0,0,Seen in a different light. Might alien life run on cosmic rays? Interesting: https://t.co/u6EiczvB6t #astrobiology by @SarahEFecht
antisophista,Sun Sep 18 10:27:06 +0000 2016,777453891709464576,361,488,0,0,@NASAhistory do we know who the baby is whose crying was recorded on the @NASAVoyager Golden Record? https://t.co/ItJ62eBMUp
spaceloss,Sun Sep 18 11:31:34 +0000 2016,777470114094522368,380,815,0,0,@Launiusr @Robotbeat And concerning civil space/NASA  policy like humans to Mars  while admirable  lacks substantive purpose for US/society.
msroberts0619,Sun Sep 18 15:39:46 +0000 2016,777532574981722113,21,27,0,0,@SteveSGoddard So amazing how NASA GISS can make graphs just like these always show temp increases. They must #StopScammingAmerica
spaceloss,Sun Sep 18 18:13:28 +0000 2016,777571256916971520,381,816,0,0,@Launiusr @Robotbeat Would Planetary Denfense be within the Defense sector of the paradigm  and if so  why NASA &amp; not military  etc? Thanks!
spaceloss,Sun Sep 18 19:02:34 +0000 2016,777583609721024513,381,816,0,0,@Robotbeat @Launiusr Hah! My worry about NEO initially derived from Congressional worry.  NASA builds  tests  &amp; maintains.  Who else 4 this?
spaceloss,Sun Sep 18 19:13:31 +0000 2016,777586369455591424,381,816,0,0,@Robotbeat @Launiusr As I fear a repeated history of bad gov. investments (like a hasty Hu Mars mission) would be argument to privitize NASA
spaceloss,Sun Sep 18 20:55:58 +0000 2016,777612151372537857,382,816,0,0,@Simberg_Space @Robotbeat @orbital_decay My thot was Plan Def/NEOs -&gt; Civil/NASA; Orbital Debris -&gt; National Defense (in @Launiusr paradigm)
brunocvcunha,Sun Sep 18 21:46:56 +0000 2016,777624976115380224,9962,8157,0,0,@Oracle @NASA completely unrelated with Java  though.
NASA,Sun Sep 18 23:09:01 +0000 2016,777645631376658432,18768324,261,0,0,A week after launch  @OSIRISREx remains healthy &amp; on track in 2-year trek to asteroid Bennu: https://t.co/6yNtIYMuxU https://t.co/kZwyvc9auk
NASA_Johnson,Mon Sep 19 01:28:32 +0000 2016,777680744726401024,607076,156,0,0,.@gracepotter talks inspiration for "Look What We've Become". Video coming tomorrow! https://t.co/UMywi2riZZ https://t.co/kFPpTXt7jP
Zerstaubung,Mon Sep 19 04:47:31 +0000 2016,777730817522937856,275,1031,0,0,hmm only that Americans are strung along by a group of Congressional Controlled puppets 3Stooges&gt;NASA #benign @SarcasticRover @Space_Damien
